"CityId","City","Region","Country","Latitude","Longitude","TimeZone","MSL","isHanafi","isnorthernhemisphere","TwilightAngle"
10,"Mobile","Alabama","United States",30.68,-88.09,"-06:00",,0,0,
277,"Eagle","Colorado","United States",39.60,-106.76,"-07:00",,0,0,
429,"Macomb","Illinois","United States",40.45,-90.67,"-06:00",,0,0,
616,"Redwood Falls","Minnesota","United States",44.49,-95.10,"-06:00",,0,0,
687,"Burwell","Nebraska","United States",41.92,-98.98,"-06:00",,0,0,
1153,"Burlington","Vermont","United States",44.48,-73.21,"-05:00",,0,0,
1154,"Montpelier","Vermont","United States",44.27,-72.58,"-05:00",,0,0,
1155,"Newport","Vermont","United States",44.92,-72.20,"-05:00",,0,0,
1156,"Rutland","Vermont","United States",43.62,-72.95,"-05:00",,0,0,
1157,"Saint Johnsbury","Vermont","United States",44.41,-71.97,"-05:00",,0,0,
1158,"Wilmington","Vermont","United States",42.88,-72.89,"-05:00",,0,0,
1163,"Ulaangom","Uvs","Mongolia",49.96,92.03,"+08:00",,0,0,
1165,"Rio Branco","Acre","Brazil",-8.23,-73.21,"-05:00",,0,0,
1166,"Belém","Paro","Brazil",-1.45,-48.48,"-04:00",,0,0,
1171,"Denpasar","Bali","Indonesia",-8.65,115.21,"+08:00",,0,0,
1172,"Macapá","Amapá","Brazil",0.03,-51.05,"-04:00",,0,0,
1173,"Salvador","Bahia","Brazil",-12.98,-38.51,"-03:00",,0,0,
1175,"Teresina","Piauí","Brazil",-5.08,-42.81,"-03:00",,0,0,
1180,"Salt Lake City","Utah","United States",40.73,-111.88,"-07:00",,0,0,
1181,"Foz do Iguaçu","Paraná","Brazil",-25.55,-54.58,"-03:00",,0,0,
1182,"Montreal","Quebec","Canada",45.50,-73.58,"-05:00",,0,0,
1185,"Ulan-Ude","Buryatiya","Russia",51.83,107.61,"+03:00",,0,0,
1189,"Izhevsk","Buryatiya","Russia",56.85,53.23,"+03:00",,0,0,
1190,"Birobidzhan","Yevreyskaya Avtonomnyy Oblast'","Russia",48.80,132.95,"+03:00",,0,0,
1191,"Hermosillo","Sonora","Mexico",29.06,-110.96,"-07:00",,0,0,
1193,"Tepic","Nayarit","Mexico",21.51,-104.88,"-07:00",,0,0,
1196,"Ondorhaan","Hentiy","Mongolia",47.31,110.65,"+08:00",,0,0,
1197,"Choibalsan","Dornod","Mongolia",48.43,114.86,"+08:00",,0,0,
1201,"Maceió","Alagoas","Brazil",-9.66,-35.71,"-02:00",,0,0,
1202,"João Pessoa","Paraíba","Brazil",-7.11,-34.86,"-03:00",,0,0,
1203,"Boa Vista","Roraima","Brazil",-21.13,-41.56,"-04:00",,0,0,
1204,"Aracaju","Sergipe","Brazil",-10.91,-37.06,"-03:00",,0,0,
1205,"Edmonton","Alberta","Canada",53.55,-113.50,"-07:00",,0,0,
1206,"Toronto","Ontario","Canada",43.66,-79.41,"-05:00",,0,0,
1211,"Guadalajara","Jalisco","Mexico",20.66,-103.33,"-06:00",,0,0,
1212,"Pachuca","Hidalgo","Mexico",20.11,-98.73,"-06:00",,0,0,
1213,"Cuernavaca","Morelos","Mexico",18.91,-99.25,"-06:00",,0,0,
1214,"Tuxtla Gutierrez","Chiapas","Mexico",16.75,-93.11,"-06:00",,0,0,
1215,"Villahermosa","Tabasco","Mexico",17.98,-92.91,"-06:00",,0,0,
1216,"Merida","Yucatan","Mexico",24.55,-98.91,"-06:00",,0,0,
1217,"Moron","Hovsgol","Mongolia",49.64,100.15,"+08:00",,0,0,
1218,"Suhbaatar","Selenge","Mongolia",50.23,106.20,"+08:00",,0,0,
1221,"Honolulu","Hawaii","United States",21.30,-157.84,"-10:00",,0,0,
1222,"Kansas City","Kansas","United States",39.11,-94.67,"-06:00",,0,0,
